	Algal (Endosymbiont) Species	Algal (Endosymbiont) Strain	Host Species	Host Strain	Taxonomic Designation of the Host	Origin	Database	rbcL	18srRNA	28S rRNA	3_rpl36-5_infA	ITS1-5.8S-ITS2	Ref
87	Chl_heliozoae_A_turfacea	SAG_3.83	Acanthocystis turfacea	nd	nd	"New foundland, Canada"		nd	nd	nd	nd	FM205850	"Heeg and Wolf, 2015"
88	Chl_sorokiniana	CCTCCM209220	Free-living	nd	nd	"Inner Mongolia Province, China"		nd	nd	nd	nd	KJ676111	"Heeg and Wolf, 2015"
89	M_pusillum	KMMCC_1710	Free-living	nd	nd	"Busan, South Korea"		nd	nd	nd	nd	JQ315785	"Heeg and Wolf, 2015"
90	Chl_pyrenoidosa	NIREMACC02	Free-living	nd	nd	"Punjab, India"		nd	nd	nd	nd	KJ507207	"Heeg and Wolf, 2015"
91	M_reisseri_conductrix_p_bursaria	Pbi	P.bursaria	nd	nd	"Goettingen, Germany"		nd	nd	nd	nd	AB506071	"Heeg and Wolf, 2015"
92	M_tetrahymenae_t_utriclariae	SAG_2587	Tetrahymena utriculariae	nd	nd	"Okavango Delta, Botswana"	GenBank	nd	nd	nd	nd	MT359915	"Proschold et al., 2020"
93	Chl_variabilis_S_pyriformis	Hachimantai_1204	Stentor pyriformis	nd	nd	"Hachimantai, Japan"		nd	nd	nd	nd	LC533388	"Hoshina et al., 2021"
94	Chl_variabilis_S_pyriformis	Jodo-daira_1436	Stentor pyriformis	nd	nd	"Jodo-daira, Japan"		nd	nd	nd	nd	LC533389	"Hoshina et al., 2021"
95	Chl_variabilis_S_pyriformis	Toriko-daira_1256	Stentor pyriformis	nd	nd	"Toriko-daira, Japan"		nd	nd	nd	nd	LC533390	"Hoshina et al., 2021"
96	Chl_variabilis_S_pyriformis	nd	Stentor pyriformis	nd	nd	"Toriko-daira, Japan"		nd	nd	nd	nd	LC533391	"Hoshina et al., 2021"
	Parachlorella beijerinckii	SAG 2046	Free-living	nd	nd	"Mecklenberg, Germany"		nd	AY323841	nd	nd	FM205845	"Rajevic et al., 2015"
	‘Chlorella’ ellipsoidea	nd	Free-living	nd	nd			EU038287	X63520	nd	nd	EU038292	"Rajevic et al., 2015"
	C. kessleri	nd	Free-living	nd	nd			AB260912	X56105	nd	nd	FR865655	"Rajevic et al., 2015"
	C. lobophora	nd	Free-living	nd	nd			nd	X63504	nd	nd		"Rajevic et al., 2015"
	C. luteoviridis	nd	Free-living	nd	nd			nd	AB006045	nd	nd	FR865658	"Rajevic et al., 2015"
	C. minutissima	nd	Free-living	nd	nd			KC810312	AB006046	nd	nd		"Rajevic et al., 2015"
	C. mirabilis	nd	Free-living	nd	nd			nd	X74000	nd	nd		"Rajevic et al., 2015"
	‘C.’ saccharophila	nd	Free-living	nd	nd			AM260446	AB058310	nd	nd	FM946010	"Rajevic et al., 2015"
	C. sorokiniana	nd	Free-living	nd	nd			JQ415922	X73993	nd	nd	KC416207	"Rajevic et al., 2015"
	C. sphaerica	nd	Free-living	nd	nd			nd	AJ416105	nd	nd		"Rajevic et al., 2015"
	C. vulgaris	LU18	Free-living	nd	nd	"Midwest, USA"		JQ415915	AB080308	nd	nd	AY591512	"Rajevic et al., 2015"
	C. zofingiensis/M. zofingiensis	nd	Free-living	nd	nd			HQ902940	X74004	nd	nd	HQ902929	"Rajevic et al., 2015"
	C. sp.	nd	Free-living	nd	nd			KC810316	AB713411	nd	nd	FM205844	"Rajevic et al., 2015"
	Asterochloris sp.	nd	Free-living	nd	nd			JN573807	nd	nd	nd	AM906012	"Rajevic et al., 2015"
	Auxenochlorella protothecoides	nd	Free-living	nd	nd			EU038285	nd	nd	nd	FN298931	"Rajevic et al., 2015"
	Auxenochlorella sp.	nd	Free-living	nd	nd			AM260439	nd	nd	nd	FN298932	"Rajevic et al., 2015"
	Chloroidium ellipsoideum	nd	Free-living	nd	nd			nd	nd	nd	nd	FR865666	"Rajevic et al., 2015"
	C. saccharophilum	nd	Free-living	nd	nd			nd	nd	nd	nd	FR865677	"Rajevic et al., 2015"
	Choricystis minor	nd	Free-living	nd	nd			DQ219819	nd	nd	nd	FN870434	"Rajevic et al., 2015"
	Closteriopsis acicularis	nd	Free-living	nd	nd			EF113433	nd	nd	nd	HM066009	"Rajevic et al., 2015"
	Coccomyxa glaronensis	nd	Free-living	nd	nd			nd	nd	nd	nd		"Rajevic et al., 2015"
	Coccomyxa sp.	nd	Free-living	nd	nd			HQ335208	nd	nd	nd	FN298928	"Rajevic et al., 2015"
	Dictyochloropsis reticulata	nd	Free-living	nd	nd			EF113435	nd	nd	nd	FJ792803	"Rajevic et al., 2015"
	Elliptochloris bilobata	nd	Free-living	nd	nd			FJ217379	nd	nd	nd		"Rajevic et al., 2015"
	E. subsphaerica	nd	Free-living	nd	nd			FJ217382	nd	nd	nd	FJ648518	"Rajevic et al., 2015"
	Helicosporidium sp.	nd	Free-living	nd	nd			nd	nd	nd	nd	AF317895	"Rajevic et al., 2015"
	Heterochlorella luteoviridis	nd	Free-living	nd	nd			HE984580	nd	nd	nd		"Rajevic et al., 2015"
	Heveochlorella hainangensis	nd	Free-living	nd	nd			nd	nd	nd	nd	JX290372	"Rajevic et al., 2015"
	H. roystonensis	nd	Free-living	nd	nd			nd	nd	nd	nd		"Rajevic et al., 2015"
	Kalinella bambusicola	nd	Free-living	nd	nd			HE984581	nd	nd	nd		"Rajevic et al., 2015"
	Koliella longiseta	nd	Free-living	nd	nd			nd	nd	nd	nd	AJ431677	"Rajevic et al., 2015"
	K. sempervirens	nd	Free-living	nd	nd			nd	nd	nd	nd	AJ431673	"Rajevic et al., 2015"
	K. spiculiformis	nd	Free-living	nd	nd			nd	nd	nd	nd	AJ431670	"Rajevic et al., 2015"
	Leptosira terrestris	nd	Free-living	nd	nd			AM260448	nd	nd	nd		"Rajevic et al., 2015"
	Microthamnion kuetzingianum	nd	Free-living	nd	nd			EF589152	nd	nd	nd		"Rajevic et al., 2015"
	Myrmecia biatorellae	nd	Free-living	nd	nd			AF499685	nd	nd	nd		"Rajevic et al., 2015"
	Nannochloris sp.	nd	Free-living	nd	nd			nd	nd	nd	nd	JQ922411	"Rajevic et al., 2015"
	Neochloris aquatica	nd	Free-living	nd	nd			EF113456	nd	nd	nd	AY577764	"Rajevic et al., 2015"
	Phyllosiphon arisari	nd	Free-living	nd	nd			nd	nd	nd	nd		"Rajevic et al., 2015"
	Picochlorum (Nannochloris) eucaryotum	nd	Free-living	nd	nd			EF113454	nd	nd	nd		"Rajevic et al., 2015"
	Prototheca blaschkeae	nd	Free-living	nd	nd			nd	nd	nd	nd		"Rajevic et al., 2015"
	P. wickehamii	nd	Free-living	nd	nd			nd	nd	nd	nd		"Rajevic et al., 2015"
	P. zopfi var. hydrocarbonea	nd	Free-living	nd	nd			nd	nd	nd	nd	FR848898	"Rajevic et al., 2015"
	Raphidonema longiseta	nd	Free-living	nd	nd			nd	nd	nd	nd		"Rajevic et al., 2015"
	Stichococcus bacillaris	nd	Free-living	nd	nd			AM260442	nd	nd	nd	AJ431678	"Rajevic et al., 2015"
	Trebouxia asymmetrica	nd	Free-living	nd	nd			nd	nd	nd	nd	AJ249565	"Rajevic et al., 2015"
	T. impressa	nd	Free-living	nd	nd			nd	nd	nd	nd	AJ318780	"Rajevic et al., 2015"
	T. magna	nd	Free-living	nd	nd			AJ969630	nd	nd	nd		"Rajevic et al., 2015"
	Viridiella fridericiana	nd	Free-living	nd	nd			nd	nd	nd	nd	FM958481	"Rajevic et al., 2015"
	Watanabea reniformis	nd	Free-living	nd	nd			nd	nd	nd	nd	FM958480	"Rajevic et al., 2015"
	Desmodesmus communis	nd	Free-living	nd	nd			KC810306	X73994	nd	nd	AY461372	"Rajevic et al., 2015"
	D. subspicatus	nd	Free-living	nd	nd			KC810307	nd	nd	nd	AY461367	"Rajevic et al., 2015"
	S. costatus	nd	Free-living	nd	nd			nd	AB037090	nd	nd	AB762692	"Rajevic et al., 2015"
	S. obliquus	nd	Free-living	nd	nd			EF113469	AJ249515	nd	nd	AJ249506	"Rajevic et al., 2015"
	S. vacuolatus	nd	Free-living	nd	nd			nd	X56104	nd	nd	AB762693	"Rajevic et al., 2015"
	Ankistrodesmus stipitatus	nd	Free-living	nd	nd			EF113406	nd	nd	nd		"Rajevic et al., 2015"
	Bracteacoccus aerius	nd	Free-living	nd	nd			JQ259861	nd	nd	nd	JQ281838	"Rajevic et al., 2015"
	Bulbochaete hiloensis	nd	Free-living	nd	nd			EF113415	nd	nd	nd	AY962677	"Rajevic et al., 2015"
	Carteria cerasiformis	nd	Free-living	nd	nd			D89768	nd	nd	nd		"Rajevic et al., 2015"
	Chaetopeltis orbicularis	nd	Free-living	nd	nd			nd	nd	nd	nd	FR865748	"Rajevic et al., 2015"
	Chlamydomonas debaryana	nd	Free-living	nd	nd			D86838	nd	nd	nd	FR865600	"Rajevic et al., 2015"
	C. humicola	nd	Free-living	nd	nd			nd	nd	nd	nd	DQ377088	"Rajevic et al., 2015"
	C. moewusii	nd	Free-living	nd	nd			EF113422	nd	nd	nd	FR865601	"Rajevic et al., 2015"
	C. reinhardtii	nd	Free-living	nd	nd			AB511845	nd	nd	nd	U66954	"Rajevic et al., 2015"
	Chlorococcum sp.	nd	Free-living	nd	nd			AB713414	AB713407	nd	nd		"Rajevic et al., 2015"
	Dunaliella salina	nd	Free-living	nd	nd			DQ173088	nd	nd	nd	DQ116743	"Rajevic et al., 2015"
	Enallax acutiformis	nd	Free-living	nd	nd			nd	AB037089	nd	nd		"Rajevic et al., 2015"
	Haematococcus pluvialis	nd	Free-living	nd	nd			FJ438476	nd	nd	nd	GQ463618	"Rajevic et al., 2015"
